step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,0.5,0.0,1.5,0.0,0.5,0.0,2.5,0.0,0.5,0.0,1.5,0.0,0.5,0.0,2.5,0.0,0.0,0.0,1.0,1.0
4,0.58,0.4935585071701227,2.08,0.49355850717012273,0.42,0.49355850717012273,2.92,0.49355850717012273,0.58,0.4935585071701227,2.08,0.49355850717012273,0.42,0.49355850717012273,2.92,0.49355850717012273,1.0,0.58,0.0,0.42
5,0.433,0.45772371579370885,2.513,0.8202627627778796,0.567,0.45772371579370896,3.487,0.8202627627778796,0.433,0.45772371579370885,2.513,0.8202627627778796,0.567,0.45772371579370896,3.487,0.8202627627778796,0.58,0.637,0.42,0.363
6,0.4945,0.47562564060403645,3.0075,0.9938278271411,0.5055,0.47562564060403645,3.9925,0.9938278271411,0.4945,0.47562564060403645,3.0075,0.9938278271411,0.5055,0.47562564060403645,3.9925,0.9938278271411,0.713,0.639,0.287,0.361
7,0.5455,0.47768164084461107,3.553,1.184985653921599,0.4545,0.47768164084461107,4.447,1.184985653921599,0.5455,0.47768164084461107,3.553,1.184985653921599,0.4545,0.47768164084461107,4.447,1.184985653921599,0.734,0.693,0.266,0.307
8,0.367,0.4396714682578345,3.92,1.1851582172857766,0.633,0.4396714682578345,5.08,1.1851582172857766,0.367,0.4396714682578345,3.92,1.1851582172857766,0.633,0.4396714682578345,5.08,1.1851582172857766,0.458,0.675,0.542,0.325
9,0.5855,0.47847648845058205,4.5055,1.3596763401633492,0.4145,0.47847648845058205,5.4945,1.3596763401633492,0.5855,0.47847648845058205,4.5055,1.3596763401633492,0.4145,0.47847648845058205,5.4945,1.3596763401633492,0.815,0.688,0.185,0.312
10,0.6175,0.4732269540083278,5.123,1.5057792002813692,0.3825,0.4732269540083277,5.877,1.5057792002813692,0.6175,0.4732269540083278,5.123,1.5057792002813692,0.3825,0.4732269540083277,5.877,1.5057792002813692,0.835,0.709,0.165,0.291
11,0.6265,0.47301981988073183,5.7495,1.632176384463395,0.3735,0.4730198198807319,6.2505,1.632176384463395,0.6265,0.47301981988073183,5.7495,1.632176384463395,0.3735,0.4730198198807319,6.2505,1.632176384463395,0.837,0.728,0.163,0.272
12,0.6145,0.4760669595760664,6.364,1.7845178620568638,0.3855,0.4760669595760664,6.636,1.7845178620568638,0.6145,0.4760669595760664,6.364,1.7845178620568638,0.3855,0.4760669595760664,6.636,1.7845178620568638,0.827,0.726,0.173,0.274
13,0.6485,0.4617334187602192,7.0125,1.9025229959188403,0.3515,0.4617334187602193,6.9875,1.9025229959188403,0.6485,0.4617334187602192,7.0125,1.9025229959188403,0.3515,0.4617334187602193,6.9875,1.9025229959188403,0.808,0.752,0.192,0.248
