step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0008925599971812,0.09475010603166983,1.0008925599971812,0.09475010603166983,-0.0008925599971811548,0.09475010603166982,-0.0008925599971811548,0.09475010603166982,0.9963294472805796,0.10037739602754651,0.9963294472805796,0.10037739602754651,0.0036705527194202704,0.10037739602754651,0.0036705527194202704,0.10037739602754651,1.0,1.0,0.0,0.0
1,-0.0006894701501266776,0.09784666600247385,1.0002030898470544,0.1356053004931552,1.0006894701501268,0.09784666600247385,0.9997969101529456,0.1356053004931552,-0.0014649360354375065,0.09719598465808144,0.9948645112451422,0.13934660707895513,1.0014649360354375,0.09719598465808145,1.0051354887548578,0.13934660707895513,1.0,0.0,0.0,1.0
2,-0.004715226075008596,0.09691574705891717,0.9954878637720459,0.16878690468393176,1.0047152260750087,0.09691574705891717,2.0045121362279543,0.16878690468393176,-0.00042049981093725996,0.10250516964517815,0.9944440114342049,0.17329783817341507,1.0004204998109372,0.10250516964517815,2.0055559885657948,0.17329783817341504,0.0,1.0,1.0,0.0
3,0.4960293079279629,0.09823259848080883,1.4915171717000089,0.19256549600029974,0.503970692072037,0.09823259848080883,2.508482828299991,0.19256549600029974,0.49904841600539146,0.09945034203887003,1.4934924274395962,0.20042912892332124,0.5009515839946086,0.09945034203887002,2.5065075725604036,0.2004291289233212,0.0,0.0,1.0,1.0
4,0.9899203535413987,0.13434535383738677,2.481437525241408,0.23555483271193117,0.010079646458601224,0.13434535383738677,2.5185624747585926,0.23555483271193117,0.9940884527443593,0.13410575077395168,2.487580880183956,0.24996658722935,0.005911547255640691,0.13410575077395168,2.512419119816044,0.24996658722935003,0.996,0.996,0.004,0.004
5,0.9679064688243572,0.19791240312306121,3.449343994065765,0.32714620275442624,0.032093531175642856,0.1979124031230612,2.5506560059342354,0.32714620275442624,0.9751334550533347,0.1959597406149799,3.4627143352372904,0.3445274430521274,0.024866544946665233,0.1959597406149799,2.5372856647627096,0.34452744305212746,0.974,0.996,0.026,0.004
6,0.8729326362090916,0.342509511766314,4.322276630274856,0.5285509236280708,0.12706736379090844,0.342509511766314,2.677723369725144,0.5285509236280709,0.8724317589327866,0.3474094512936592,4.335146094170077,0.5516232881906109,0.12756824106721334,0.3474094512936592,2.664853905829923,0.5516232881906109,0.896,0.976,0.104,0.024
7,0.6211497437156461,0.4955660771794258,4.943426373990502,0.8038153153409197,0.3788502562843539,0.4955660771794258,3.0565736260094973,0.8038153153409197,0.6213727870111256,0.4984714200055924,4.956518881181203,0.8180757510274849,0.37862721298887436,0.4984714200055924,3.0434811188187973,0.8180757510274849,0.726,0.896,0.274,0.104
8,0.4177840749431369,0.5036074976264995,5.361210448933639,0.960041787315646,0.582215925056863,0.5036074976264995,3.63878955106636,0.960041787315646,0.4153268493233496,0.5018563359513202,5.371845730504552,0.9665366894433639,0.5846731506766504,0.5018563359513202,3.628154269495447,0.9665366894433639,0.697,0.726,0.303,0.274
9,0.4772462610477299,0.5083940498539884,5.838456709981369,0.8573731861679349,0.5227537389522702,0.5083940498539884,4.161543290018631,0.8573731861679349,0.48089228214289437,0.511987868497627,5.852738012647447,0.8758205928074432,0.5191077178571056,0.511987868497627,4.147261987352553,0.8758205928074433,0.782,0.697,0.218,0.303
