step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0096824629199834,1.0145607620875647,1.0096824629199834,1.0145607620875647,-0.009682462919983346,1.014560762087565,-0.009682462919983346,1.014560762087565,1.033685957676257,1.0141448805031006,1.033685957676257,1.0141448805031006,-0.033685957676256845,1.0141448805031006,-0.033685957676256845,1.0141448805031006,1.0,1.0,0.0,0.0
1,0.08029538827917593,0.9979092206039131,1.0899778511991591,1.399340548604796,0.9197046117208241,0.9979092206039131,0.9100221488008408,1.399340548604796,0.00952638863816491,1.013276010725074,1.0432123463144218,1.4315806185546287,0.9904736113618351,1.013276010725074,0.9567876536855784,1.4315806185546287,1.0,0.0,0.0,1.0
2,-0.011249374864015003,0.9995095082633116,1.0787284763351443,1.7421206004163703,1.011249374864015,0.9995095082633116,1.9212715236648557,1.7421206004163703,-0.003947889681227199,1.0302584096787724,1.0392644566331946,1.7116375938618487,1.0039478896812273,1.0302584096787724,1.9607355433668054,1.7116375938618484,0.0,1.0,1.0,0.0
3,0.48393257758844144,0.977531936206455,1.5626610539235857,1.9819832471553522,0.5160674224115585,0.977531936206455,2.437338946076414,1.9819832471553522,0.4730142538762078,0.9990485019029832,1.5122787105094024,1.9740632397907296,0.5269857461237922,0.9990485019029832,2.4877212894905973,1.9740632397907296,0.0,0.0,1.0,1.0
4,0.46972948551389915,1.0774627972494568,2.032390539437485,2.256291935155815,0.5302705144861009,1.0774627972494568,2.967609460562515,2.256291935155815,0.464709177837423,1.0927790801500004,1.9769878883468255,2.270936879619408,0.535290822162577,1.0927790801500004,3.0230121116531747,2.270936879619408,0.632,0.6,0.368,0.4
5,0.5756378131869492,1.0681656330603957,2.6080283526244337,2.5073302602837946,0.4243621868130508,1.0681656330603957,3.3919716473755663,2.5073302602837946,0.5740977870196096,1.098332458668455,2.551085675366435,2.541910343997222,0.42590221298039055,1.0983324586684549,3.448914324633565,2.5419103439972224,0.645,0.656,0.355,0.344
6,0.5207172964702298,1.0737988114070947,3.1287456490946637,2.778774597300605,0.4792827035297703,1.0737988114070947,3.8712543509053363,2.778774597300605,0.5944455498870138,1.116404954133148,3.1455312252534484,2.8378360882939857,0.4055544501129861,1.1164049541331478,3.8544687747465516,2.8378360882939857,0.623,0.669,0.377,0.331
7,0.626700501229325,1.1006627945267955,3.755446150323988,3.055057198266453,0.3732994987706751,1.1006627945267955,4.244553849676011,3.055057198266453,0.5882344654319562,1.1095473562606595,3.7337656906854044,3.128274720113266,0.41176553456804377,1.1095473562606595,4.266234309314595,3.128274720113266,0.636,0.668,0.364,0.332
8,0.5737428710842583,1.0809964734993323,4.329189021408247,3.3123336161865775,0.4262571289157417,1.0809964734993323,4.670810978591753,3.312333616186577,0.6501895263322501,1.073933556776762,4.383955217017655,3.4080233615661255,0.34981047366774976,1.073933556776762,4.616044782982345,3.4080233615661255,0.653,0.689,0.347,0.311
9,0.6755167411281788,1.0677091221048938,5.0047057625364255,3.533498066367259,0.32448325887182106,1.0677091221048938,4.9952942374635745,3.533498066367259,0.637576591140777,1.0643685485938632,5.021531808158432,3.71704997902648,0.36242340885922303,1.0643685485938632,4.978468191841567,3.71704997902648,0.677,0.674,0.323,0.326
