step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0017550019561234,0.10051435685270316,1.0017550019561234,0.10051435685270316,-0.0017550019561235221,0.10051435685270316,-0.0017550019561235221,0.10051435685270316,0.997613928744484,0.09873878099788172,0.997613928744484,0.09873878099788172,0.0023860712555161074,0.09873878099788172,0.0023860712555161074,0.09873878099788172,1.0,1.0,0.0,0.0
1,-0.0003889127798328822,0.09681848116466397,1.0013660891762906,0.13944355933108044,1.0003889127798329,0.09681848116466397,0.9986339108237093,0.13944355933108044,0.0006604080319365311,0.10093576232903491,0.9982743367764204,0.13882299968275583,0.9993395919680635,0.10093576232903491,1.0017256632235796,0.1388229996827558,1.0,0.0,0.0,1.0
2,-0.00028233627987191644,0.0963873868651742,1.0010837528964187,0.1705645867307829,1.000282336279872,0.0963873868651742,1.9989162471035813,0.1705645867307829,0.001284440826089707,0.09991574709086097,0.9995587776025102,0.17255740292225635,0.9987155591739103,0.09991574709086097,2.00044122239749,0.17255740292225635,0.0,1.0,1.0,0.0
3,0.50453922581485,0.0992069030738911,1.505622978711269,0.19579955615364716,0.49546077418515005,0.0992069030738911,2.4943770212887313,0.19579955615364716,0.4979391875239286,0.10246649273306951,1.4974979651264388,0.2038931859093058,0.5020608124760715,0.10246649273306951,2.5025020348735616,0.2038931859093058,0.0,0.0,1.0,1.0
4,0.9872582332576296,0.15452600776543804,2.492881211968898,0.2522776249320737,0.01274176674237037,0.15452600776543804,2.507118788031102,0.2522776249320736,0.9887037093563938,0.15041329204532977,2.4862016744828326,0.2560810220281251,0.011296290643606256,0.15041329204532977,2.5137983255171674,0.2560810220281251,0.993,0.994,0.007,0.006
5,0.9423570913477571,0.2597410577367604,3.4352383033166554,0.3938710287918568,0.05764290865224295,0.2597410577367604,2.5647616966833446,0.3938710287918568,0.9418007845295697,0.24994144568412172,3.428002459012402,0.3759373519425302,0.05819921547043037,0.24994144568412172,2.571997540987598,0.3759373519425302,0.972,0.971,0.028,0.029
6,0.7314615530832637,0.4490553213950949,4.1666998563999185,0.666316942596339,0.2685384469167363,0.4490553213950949,2.833300143600081,0.666316942596339,0.7324235407431168,0.44453005125212075,4.160425999755519,0.6446549386465282,0.2675764592568833,0.44453005125212075,2.8395740002444807,0.6446549386465282,0.844,0.855,0.156,0.145
7,0.45395552609845785,0.4932743193677767,4.620655382498377,0.881639370400888,0.5460444739015421,0.49327431936777666,3.3793446175016233,0.881639370400888,0.4511861666877053,0.4927560854274198,4.611612166443225,0.8693498457850725,0.5488138333122947,0.4927560854274198,3.388387833556776,0.8693498457850725,0.687,0.673,0.313,0.327
8,0.4607813588768524,0.4828040122335905,5.081436741375229,0.8763347510898688,0.5392186411231475,0.4828040122335905,3.9185632586247707,0.8763347510898687,0.46391109597217556,0.47551547654905735,5.075523262415399,0.8658034533130066,0.5360889040278245,0.47551547654905735,3.9244767375846004,0.8658034533130066,0.65,0.659,0.35,0.341
9,0.7412183085132329,0.4456486670911236,5.822655049888462,0.8369039370206875,0.2587816914867672,0.4456486670911236,4.177344950111538,0.8369039370206875,0.7384311223198217,0.4457820642979002,5.813954384735221,0.8253888969883664,0.26156887768017845,0.4457820642979002,4.186045615264779,0.8253888969883664,0.844,0.845,0.156,0.155
10,0.8605773971963858,0.3580984921450589,6.6832324470848485,0.8525146297772456,0.1394226028036141,0.3580984921450589,4.316767552915152,0.8525146297772456,0.8578247494771782,0.3606347842887758,6.671779134212399,0.8453790107822995,0.1421752505228218,0.3606347842887758,4.328220865787601,0.8453790107822995,0.929,0.919,0.071,0.081
11,0.8003530353771745,0.4105509249057134,7.483585482462022,0.8938790708425886,0.19964696462282547,0.4105509249057134,4.516414517537978,0.8938790708425886,0.7975811834683414,0.40957776950068076,7.469360317680741,0.8873772710769074,0.20241881653165852,0.40957776950068076,4.530639682319259,0.8873772710769074,0.887,0.898,0.113,0.102
12,0.7113614390430828,0.4601276686148249,8.194946921505107,0.942682567852262,0.28863856095691726,0.46012766861482485,4.805053078494894,0.9426825678522619,0.7121734898971877,0.45754075484744644,8.181533807577928,0.9533044156992423,0.28782651010281235,0.4575407548474464,4.818466192422071,0.9533044156992424,0.85,0.84,0.15,0.16
13,0.6695407740178632,0.47963888248307784,8.864487695522968,0.9749934005291433,0.3304592259821369,0.4796388824830779,5.135512304477031,0.9749934005291433,0.6744321550762236,0.47248892079371924,8.855965962654153,0.9880462705848387,0.32556784492377644,0.47248892079371924,5.144034037345848,0.9880462705848388,0.826,0.822,0.174,0.178
14,0.682112746785657,0.47284236297496274,9.546600442308627,1.0021751575202156,0.31788725321434297,0.47284236297496274,5.453399557691375,1.0021751575202156,0.687231309434383,0.467685032255776,9.543197272088536,1.0061032202870217,0.3127686905656169,0.46768503225577607,5.456802727911465,1.0061032202870217,0.836,0.82,0.164,0.18
15,0.763178608603634,0.4334962722505059,10.30977905091226,0.9922270425702737,0.23682139139636607,0.43349627225050597,5.69022094908774,0.9922270425702737,0.7552365071288549,0.4323304132298201,10.29843377921739,0.9900186600910145,0.24476349287114507,0.4323304132298201,5.70156622078261,0.9900186600910145,0.865,0.88,0.135,0.12
16,0.7837077128591083,0.4255107386241355,11.093486763771368,0.9731452454831054,0.2162922871408917,0.4255107386241355,5.906513236228633,0.9731452454831054,0.7838707623173409,0.41726920540369805,11.082304541534732,0.9568107081879054,0.21612923768265915,0.41726920540369805,5.917695458465269,0.9568107081879053,0.873,0.907,0.127,0.093
17,0.8345824828875584,0.3911309317482258,11.928069246658927,0.9385072619840706,0.1654175171124416,0.3911309317482258,6.071930753341074,0.9385072619840706,0.8226320656720056,0.3935274898874611,11.904936607206738,0.9209111158735331,0.1773679343279943,0.3935274898874611,6.095063392793263,0.9209111158735331,0.913,0.894,0.087,0.106
18,0.8408720804913228,0.3811702204572062,12.768941327150248,0.9005516416130706,0.15912791950867716,0.3811702204572062,6.231058672849751,0.9005516416130706,0.8405022115923546,0.37861342579409046,12.74543881879909,0.894508623955738,0.1594977884076454,0.37861342579409046,6.254561181200908,0.894508623955738,0.914,0.915,0.086,0.085
19,0.8541438594123079,0.36490862228909443,13.623085186562555,0.8687568983089808,0.14585614058769228,0.36490862228909443,6.376914813437443,0.8687568983089807,0.8543759837516868,0.36479857339365396,13.59981480255078,0.8759715475952191,0.14562401624831317,0.36479857339365396,6.400185197449222,0.8759715475952191,0.914,0.926,0.086,0.074
20,0.8608489141631634,0.3606038602114343,14.483934100725719,0.8723023794303539,0.1391510858368365,0.3606038602114343,6.516065899274279,0.8723023794303539,0.8588444454977486,0.3572425119397354,14.458659248048527,0.8812160135600229,0.14115555450225123,0.3572425119397354,6.5413407519514735,0.881216013560023,0.931,0.919,0.069,0.081
21,0.8587711148280246,0.3583869338301911,15.342705215553746,0.8946905745594874,0.1412288851719754,0.3583869338301911,6.657294784446255,0.8946905745594873,0.8566612638386533,0.36197154702532786,15.31532051188718,0.9029861345394681,0.1433387361613469,0.36197154702532786,6.68467948811282,0.9029861345394681,0.928,0.923,0.072,0.077
22,0.8392071036717395,0.3779473251228119,16.181912319225486,0.9128955899598122,0.1607928963282606,0.3779473251228119,6.818087680774516,0.9128955899598122,0.8370601362836806,0.37565987714475124,16.15238064817086,0.93663515947455,0.16293986371631944,0.37565987714475124,6.84761935182914,0.93663515947455,0.918,0.916,0.082,0.084
23,0.8461833416454433,0.37534814098038016,17.028095660870928,0.9306401767482715,0.1538166583545567,0.37534814098038016,6.971904339129073,0.9306401767482717,0.846859725524059,0.37292515621786765,16.99924037369492,0.961973018117788,0.15314027447594106,0.37292515621786765,7.00075962630508,0.961973018117788,0.923,0.919,0.077,0.081
